epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2876,1.77283,9.33896,0.01987,0.02426,0.63384,0.10218,0.04196,1.55203,11.356,0.02083,0.00025,0.00025,0.00025
2,39.7547,1.51425,7.92063,0.01556,0.0047,1,0.26717,0.14,1.27598,10.4896,0.01605,0.000495574,0.000495574,0.000495574
3,57.8961,1.38695,6.89397,0.01464,0.91207,0.15375,0.38821,0.19816,1.30621,9.78541,0.01739,0.00072644,0.00072644,0.00072644
4,75.6159,1.40429,6.12724,0.01455,0.71911,0.4081,0.67944,0.40014,1.40676,8.73148,0.01853,0.000915143,0.000915143,0.000915143
5,93.4384,1.37455,5.22319,0.01348,0.49757,0.71704,0.73207,0.47239,1.20925,7.07419,0.01571,0.000886857,0.000886857,0.000886857
6,111.024,1.38017,4.78423,0.0137,0.53653,0.71068,0.75724,0.48943,1.28473,6.1154,0.01575,0.000858571,0.000858571,0.000858571
7,129.013,1.32833,4.36301,0.01329,0.6123,0.8059,0.83525,0.54915,1.26839,5.68854,0.01612,0.000830286,0.000830286,0.000830286
8,146.383,1.37917,3.89438,0.01321,0.70901,0.80192,0.82957,0.54896,1.16211,4.66081,0.01466,0.000802,0.000802,0.000802
9,163.792,1.31194,3.39609,0.01293,0.62406,0.81944,0.86058,0.55434,1.2883,4.24103,0.01653,0.000773714,0.000773714,0.000773714
10,181.476,1.34108,3.11336,0.01312,0.81052,0.76946,0.86923,0.57809,1.26259,3.73377,0.01686,0.000745429,0.000745429,0.000745429
11,199.157,1.29288,2.75671,0.01232,0.74376,0.88085,0.87145,0.60608,1.17357,3.24161,0.01536,0.000717143,0.000717143,0.000717143
12,220.231,1.23812,2.53759,0.01215,0.81836,0.80297,0.91612,0.65216,1.11636,2.78596,0.0138,0.000688857,0.000688857,0.000688857
13,241.067,1.2901,2.32489,0.01255,0.79593,0.90985,0.91541,0.65953,1.00978,2.53533,0.0126,0.000660571,0.000660571,0.000660571
14,261.714,1.18321,2.17665,0.01143,0.86983,0.85621,0.93451,0.65375,1.07688,2.30243,0.01353,0.000632286,0.000632286,0.000632286
15,282.063,1.20733,1.95522,0.01189,0.82971,0.92744,0.95984,0.6684,1.09392,2.09968,0.01351,0.000604,0.000604,0.000604
16,300.553,1.15213,1.85639,0.01125,0.91848,0.86098,0.96241,0.65365,1.23942,1.98438,0.01556,0.000575714,0.000575714,0.000575714
17,318.59,1.15895,1.82208,0.01132,0.88767,0.8902,0.96489,0.66758,1.17184,1.82033,0.01459,0.000547429,0.000547429,0.000547429
18,336.568,1.13847,1.5473,0.01105,0.9461,0.85262,0.96122,0.70326,1.09082,1.6764,0.01346,0.000519143,0.000519143,0.000519143
19,354.952,1.11595,1.54477,0.01082,0.95529,0.89215,0.96855,0.69958,1.06612,1.58409,0.01324,0.000490857,0.000490857,0.000490857
20,373.461,1.07544,1.42791,0.01016,0.92188,0.9191,0.97658,0.72358,0.99684,1.47079,0.0124,0.000462571,0.000462571,0.000462571
21,392.509,1.05756,1.35681,0.01012,0.94962,0.90537,0.97875,0.71592,1.01614,1.40315,0.01265,0.000434286,0.000434286,0.000434286
22,411.556,1.02082,1.32666,0.00954,0.94179,0.95249,0.98407,0.71013,1.08214,1.33858,0.01343,0.000406,0.000406,0.000406
23,430.729,1.08003,1.30699,0.01039,0.91556,0.9018,0.96804,0.70543,1.03322,1.30127,0.01285,0.000377714,0.000377714,0.000377714
24,449.394,1.07085,1.26321,0.01043,0.90294,0.92836,0.97946,0.67533,1.11169,1.29687,0.01384,0.000349429,0.000349429,0.000349429
25,468.166,1.00548,1.20118,0.00971,0.8924,0.92206,0.96474,0.70733,0.95489,1.23788,0.01171,0.000321143,0.000321143,0.000321143
26,487.165,0.91166,1.39647,0.01098,0.89947,0.95438,0.97746,0.69754,1.06917,1.28684,0.0134,0.000292857,0.000292857,0.000292857
27,505.447,0.90934,1.31793,0.01111,0.95036,0.9348,0.98098,0.73139,0.95847,1.08684,0.01195,0.000264571,0.000264571,0.000264571
28,523.804,0.90464,1.27175,0.01113,0.9745,0.94427,0.98108,0.71547,1.03029,1.06257,0.0129,0.000236286,0.000236286,0.000236286
29,541.669,0.84695,1.18835,0.01062,0.89774,0.93702,0.97445,0.7284,0.98621,1.03575,0.01228,0.000208,0.000208,0.000208
30,559.608,0.82568,1.1275,0.01002,0.93027,0.94441,0.97609,0.71239,1.02608,1.01794,0.01275,0.000179714,0.000179714,0.000179714
31,577.66,0.8086,1.09911,0.00948,0.92821,0.98401,0.98342,0.72443,1.04073,0.98629,0.01299,0.000151429,0.000151429,0.000151429
32,595.859,0.758,1.06108,0.00913,0.93064,0.99992,0.98165,0.72292,1.01491,0.96349,0.01259,0.000123143,0.000123143,0.000123143
33,614.156,0.78311,1.0487,0.00936,0.92968,0.97602,0.98659,0.72408,1.01745,0.96257,0.0126,9.48571e-05,9.48571e-05,9.48571e-05
34,632.182,0.77589,1.02738,0.00937,0.97795,0.93114,0.98762,0.72646,1.01,0.94088,0.01249,6.65714e-05,6.65714e-05,6.65714e-05
35,650.476,0.75324,0.99552,0.00867,0.97443,0.92104,0.9854,0.73189,0.99982,0.93207,0.0124,3.82857e-05,3.82857e-05,3.82857e-05
